"Kernel Name","gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x7ea99f2e1520","@!P4  LDG.E R83, [R2.64+0x44]","0","0"
"0x7ea99f2e1530","@!P2  LDG.E R82, [R2.64+0x40]","0","0"
"0x7ea99f2e1540","@!P5  LDG.E R84, [R2.64+0x60]","0","0"
"0x7ea99f2e1550","@!P1  LDG.E R85, [R2.64+0x64]","0","0"
"0x7ea99f2e1560","@!P6  LDG.E R86, [R2.64+0x60]","0","0"
"0x7ea99f2e1570","@!P0  LDG.E R87, [R2.64+0x64]","0","0"
"0x7ea99f2e1580","      LOP3.LUT R10, R7, 0x1c, RZ, 0xc0, !PT","768","24576"
"0x7ea99f2e1590","      IMAD.SHL.U32 R15, R15, 0x4, RZ","768","24576"
"0x7ea99f2e15a0","      IADD3 R8, R6, 0x200, RZ","768","24576"
"0x7ea99f2e15b0","      IMAD.SHL.U32 R2, R6, 0x4, RZ","768","24576"
"0x7ea99f2e15c0","      SHF.R.S32.HI R7, RZ, 0x5, R6","768","24576"
"0x7ea99f2e15d0","      IMAD R24, R11, 0x20, R10","768","24576"
"0x7ea99f2e15e0","      IADD3 R9, R6, 0x100, RZ","768","24576"
"0x7ea99f2e15f0","      IMAD.IADD R10, R118, 0x1, R11","768","24576"
"0x7ea99f2e1600","      SHF.R.S32.HI R11, RZ, 0x3, R8","768","24576"
"0x7ea99f2e1610","      SHF.R.S32.HI R27, RZ, 0x5, R8","768","24576"
"0x7ea99f2e1620","      IMAD.SHL.U32 R8, R7, 0x8, RZ","768","24576"
"0x7ea99f2e1630","      SHF.R.S32.HI R13, RZ, 0x3, R9","768","24576"
"0x7ea99f2e1640","      SHF.R.S32.HI R17, RZ, 0x5, R9","768","24576"
"0x7ea99f2e1650","      IMAD.SHL.U32 R16, R27, 0x8, RZ","768","24576"
"0x7ea99f2e1660","      LOP3.LUT R26, R15, 0x18, R8, 0x78, !PT","768","24576"
"0x7ea99f2e1670","      LOP3.LUT R8, R6, R13, RZ, 0x3c, !PT","768","24576"
"0x7ea99f2e1680","      IMAD.SHL.U32 R12, R17, 0x8, RZ","768","24576"
"0x7ea99f2e1690","      IADD3 R3, R6, 0x300, RZ","768","24576"
"0x7ea99f2e16a0","      ISETP.GE.AND P0, PT, R10, c[0x0][0x188], PT","768","24576"
